"data_compra,""cod_produto"",""cod_cliente"""
"2020-01-11,""000000000001100823"",""70000"""
"2020-01-11,""000000000001052498"",""70000"""
"2020-01-11,""000000000001052512"",""0002420799"""
"2020-01-11,""000000000001100839"",""0002420799"""
"2020-01-11,""000000000001118867"",""70000"""
"2020-01-02,""000000000001118993"",""70000"""
"2020-01-02,""000000000001118976"",""70000"""
"2020-01-02,""000000000001119002"",""70000"""
"2020-01-02,""000000000001118979"",""70000"""
"2020-01-03,""000000000001100677"",""70000"""
"2020-01-03,""000000000001100839"",""70000"""
"2020-01-03,""20103041"",""70000"""
"2020-01-03,""20103041"",""70000"""
"2020-01-06,""000000000001100897"",""70000"""
"2020-01-06,""000000000001100868"",""70000"""
"2020-01-06,""000000000001100972"",""70000"""
"2020-01-06,""000000000001100644"",""70000"""
"2020-01-06,""000000000001100839"",""70000"""
"2020-01-06,""000000000001052515"",""70000"""
"2020-01-02,""000000000001100763"",""70000"""
"2020-01-03,""000000000001100860"",""70000"""
"2020-01-03,""000000000001100677"",""70000"""
"2020-01-03,""000000000001100868"",""70000"""
"2020-01-03,""000000000001100868"",""70000"""
"2020-01-03,""000000000001051988"",""70000"""
"2020-01-03,""000000000001052508"",""70000"""
"2020-01-03,""000000000001100777"",""70000"""
"2020-01-03,""000000000001100862"",""70000"""
"2020-01-05,""000000000001100857"",""70000"""
"2020-01-05,""000000000001100839"",""70000"""
"2020-01-03,""000000000001100897"",""70000"""
"2020-01-03,""000000000001100636"",""70000"""
"2020-01-03,""000000000001051988"",""70000"""
"2020-01-03,""000000000001052514"",""70000"""
"2020-01-03,""000000000001100777"",""70000"""
"2020-01-10,""000000000001100868"",""0002472007"""
"2020-01-10,""000000000001052478"",""70000"""
"2020-01-10,""000000000001100795"",""70000"""
"2020-01-18,""000000000001100793"",""70000"""
"2020-01-19,""000000000001100857"",""70000"""
"2020-01-19,""000000000001118955"",""70000"""
"2020-01-28,""000000000001119002"",""70000"""
"2020-01-28,""000000000001118988"",""70000"""
"2020-01-29,""000000000001100728"",""70000"""
"2020-01-04,""000000000001100897"",""70000"""
"2020-01-04,""000000000001052497"",""70000"""
"2020-01-12,""000000000001100867"",""70000"""
"2020-01-07,""000000000001100897"",""70000"""
"2020-01-07,""000000000001100897"",""70000"""
"2020-01-07,""000000000001100773"",""70000"""
"2020-01-07,""000000000001100857"",""70000"""
"2020-01-07,""000000000001100823"",""70000"""
"2020-01-07,""000000000001052490"",""70000"""
"2020-01-07,""000000000001052512"",""70000"""
"2020-01-07,""000000000001100868"",""70000"""
"2020-01-07,""000000000001100728"",""70000"""
"2020-01-06,""000000000001100897"",""70000"""
"2020-01-06,""000000000001100823"",""70000"""
"2020-01-06,""000000000001100872"",""70000"""
"2020-01-06,""000000000001100862"",""70000"""
"2020-01-04,""000000000001100857"",""70000"""
"2020-01-04,""000000000001052515"",""70000"""
"2020-01-04,""000000000001100897"",""70000"""
"2020-01-04,""000000000001100646"",""70000"""
"2020-01-04,""000000000001100857"",""70000"""
"2020-01-04,""000000000001052495"",""70000"""
"2020-01-04,""000000000001052523"",""70000"""
"2020-01-04,""000000000001100862"",""70000"""
"2020-01-10,""000000000001100658"",""70000"""
"2020-01-11,""000000000001100857"",""70000"""
"2020-01-11,""000000000001100839"",""70000"""
"2020-01-11,""000000000001100901"",""70000"""
"2020-01-11,""000000000001052484"",""70000"""
"2020-01-11,""000000000001052484"",""70000"""
"2020-01-11,""000000000001118879"",""70000"""
"2020-01-20,""000000000001100857"",""70000"""
"2020-01-20,""000000000001100728"",""70000"""
"2020-01-20,""000000000001052508"",""70000"""
"2020-01-20,""000000000001100901"",""70000"""
"2020-01-20,""000000000001052497"",""70000"""
"2020-01-20,""000000000001100795"",""0002418824"""
"2020-01-20,""000000000001100862"",""70000"""
"2020-01-13,""000000000001100620"",""70000"""
"2020-01-13,""000000000001100897"",""70000"""
"2020-01-13,""000000000001100857"",""70000"""
"2020-01-13,""000000000001052498"",""70000"""
"2020-01-13,""000000000001052512"",""70000"""
"2020-01-13,""000000000001100839"",""70000"""
"2020-01-13,""000000000001100901"",""70000"""
"2020-01-13,""20103041"",""70000"""
